Положительное_сообщение,Отрицательное_сообщение
"саша, скоро поступит пенсия, вышлю вам. нет слов, как жалко вероничку! и конечно очень тревожно за твою маму. и за тебя... держитесь, страдалицы наши...",ебало от голода трескаеться. сексопирдёжник в сея руси. накол пидара
"прально делают родители-радетели . и где тут бездуховность ? есть товарисчи им за пятьдесят и до сих пор со стариками ,с ложечки их кормят , за ними как за маленькими ,да два брата родных судились за родителей ,чтобы старики остались у того или другого сына . завидую я таким ,за их терпение милосердие к своим предкам","базар фильтруй мракобес ебаный, за такой базар и еблет просрать можно."
"здорова всем ! вот, я пару сотен засадил туда ! окуп видите, по этому без 100пудовой уверенности в снятии, туда не надо идти войсками , а вот ракетами, сколько угодно !",кого она дурачит эта дура 👿
че эт было,"это ж надо, какой сволочизм! сначала сократил транспортные маршруты, на улице лето, жара, дышать нечем и без маски, а в автобусах - хоть задохнись. пусть бы сам поездил, хоть разок прокатился бы в час пик, когда народу битком. у людей давление зашкаливает, от масок у многих аллергия, чихают и кашляют, а эта сволочь со своим ужесточением. так и скажи прямо, что поиздержался, выхожу грабить."
я сама из деревни и мне обибно что некоторые люди пишут что она не работала а теперь под старость ягоды собирает. это не так мы деревенские крямежные у нас болит мы не лежим а через силу боль ползем агородские себя жалеюти,а на ген-лейтенанта пизда что ли не открылась?
клотримазол мазь попробуйте . мужу мажу проходит только не знаю вид лишая . ну не за один раз конечно .,сборище жопализав и предателей земли русской.
почему не в течении года? :d,не один стон блядей не заменят детей. так таким пидорам и надо. пусть здыхают под забором блядей
детей надо лечить бесплатно позор для страны собирать деньги с простых людей,"вообще-то всё очень просто и его адвокат - гнида, ему правильно всё объяснил. кто не признаётся, тот идёт в тюрьму со скрипом, его туда пихают, а он упирается руками и ногами и не хочет туда лезть... а кто признаётся и кается, тот летит туда как по маслу. адвокатов нужно брать ежовыми рукавицами, ставить с осадное положение, ибо эта интеллигентская сволочь часто паскудничает. в.и ленин, полное собрание сочинений, том 49, страница 154."
м эконо аркет одежда обувь текстиль аксессуары бооо м галантерея обуви одежды и трк парк хаус рядом тальятти аио зазодское иассе а вс здай сеноя ия бе мигим бымжксии дмя sнот оп геd bиаl саега а,"умом,умники херовы.жопой будете суки воевать.к чему и готовили,западные пидоры."
"действительно ,какая от нее теплота исходит..никакой звездности...одета соответственно возрасту...это вам не кадышева с беличьими хвостами на тонком газовом шифоне...","пусть в жопу лучще ,поцелует , закрыли фургалу падлы, ,,,короновирусные,, 🤡"
любите и благодарите день что прожили. дочь только ваша. любите жалейте и радуйтесь. что у вас есть такая любовь,в столыпинский пидорасы и по этапу искать на жопу приключений лет на 20ть
лучше пусть откроют районные поликлиники.с апреля люди на прием не могут попасть.зато в крае открыли 38пляжей.это ведь важнее.,самий пидараз здесь бартамео он уйдёть всё будеть нармалньно я в барсу верю 🐷
а кто успел скоро так уморят.,"вот и расскажите об этом игорю крыловскому,а то он не верит,что 38% живут за чертой бедности!он или обкуренный или блюдолиз путинский!!!"
гиена!!!!!! позор стране при таких адвокатах=чистые нечисти!!!!!,"с,такой,харей,можно,и,на,пенсию,не ходить, сиди,себе,да,сиди,жопу,наедай,"
"бабулечка ,ты откуда про мою жизнь заранее знала ? а жто ж ты раньше то меня не предупредила? может лучше я была бы скрягой, зато с сестрой ,своей, оставались бы в мире и согласии.возможно 🙄...",🙄 еееебать
отличные новости👍👍👍сынуле здоровья!!!,"какого хуя 😒 бастуют рабочие, у. нас.в г. рубцовска, даже заводов нет, хотя в советские времена работало много заводов. сука всё развалила эта сраная демократия, буржуазия.........."
"о , да, так и на оливье всем миром насобираем!",пиздабольство не видитесь там пидор полный наебщик полный питух
"дай, вам бог здоровья","что за ебанутый вопрос вам не стыдно? я что интимные места рассматриваю в тихоря от родителей😠 . класс не поставлю , тупые халявщики."
а лучше не доводить до такого состояния.,это вы стадо фургалов!!!майданутые на всю голову.!!!
народ!!!!при брежневе плохо жили при ельцене плохо при путине тоже не нравится вы сами знаете что хотите,там тоже не долбоёбы сидят
предлагаю ранункулюсы.есть растения и корешки.большой выбор сортов.все растения из собственного сада,"пидор он, не помнит-был ли он в машине"
как эта дорога была построена?????,человек очень легко мразью становится это страшно но еще страшнее мразь она человеком уже не станет никогда аль пачино шогldшеаропs ги еdиасептег
вы сдаёте?,пиздеша дохуя! а вы россияки хуевы! асвальта не видете! в беларуссии в любой деревни лежит осфалт!!!!! и кохзозы работают! своё молококо и всё прочее!!! ваше молоко коты не пьют!!! 🤣 🐷
"гордость советских фильмов!!! и не только папанов и еще многие другие,низкий им поклон. мы выросли на их фильмах. отдельный поклон леониду гайдаю.",🐷 сама ты отстой не нравится не смотри
"⚡ вам не кажется, (! ?), что вы, в своих эмоциях ... уходите от темы ! такая она - животрепещущая : арест блогера... человека, который старался, как можно, ярче осветить проходившие , в городе, митинги... а вы ? вы оскорбляете сами себя и переходите на личности ! почитав ваши комменты , новый человек, случайно зашедший на эту страничку, почитает, конечно, но... у него сложится непонятное впечатление : кто есть кто ... в такое сумбурное, для страны, время, у вас есть желание беседовать на подобные (!), отвлечённые темы ? тогда, милости просим ... в другом месте , пожалуйста ! не бросайте тень на митинговый день ! это - унижает и оскорбляет достоинство тех смелых и решительных людей, митингующих уже не одну (!) неделю , в борьбе за звание - человеком зваться ! пересмотрите своё отношение к данному вопросу и , пожалуйста, не засоряйте этой бравадой ... основную тему группы ! пусть у народа будет возможность высказать своё решительное - нет ! 🙏","уроды,вот всегда считала себя воспитанным человеком,но даже эмоций не осталось..."
строить надо фабрики и заводы!,"😑 это крысы живущие в стране, которую ненавидят, но живут здесь и понимают ,что их нигде не примут, потому что подобная мерзость никому не нужна и они понимают что их время кончается :поэтому так беснуются! маленькие уродцы и жалкие людишки!!!"
"нет, курей на продажу нет",блядство газпрома и бомжатской проституции нужно заканчивать. 🐔
только надо снять еще намордники и будут чисто советские человеки,🖕 жизнь нужно прожить так чтобы детишки на улице говорили смотри смотри это тот ебанутый дед
"бульон из курицы с антибиотиками и гормонами?а рыба-один из самых высокоаллергенных продуктов...ерунда получается,а идея хорошая.",ты тоже бляд нацист
"гениально, как и все у высоцкого! светлая память.❤️❤️🙏🙏🙏",а за пидоров голосовать не надо...
💔 :( :( :( царствие небесное невинно убиенному рабу божьему владимиру!🙏,лайкодрочеры
она открыта.,гуля мразь не пиши такие слова кошолка тряпка половая 👎 😑
"написано,что от единой россии,значит по спискам прошёл","за эти вещи сейчас статья до 5лет,а там он станет пидором.настоящим!!!"
с микросхемами работаете?,свои вытри что ты из себя строиш ??мурло !ебальник подними покажи глаза ! что под бандюгу косиш ??
"мне тоже нравится,но вот форма ногтей нет, не нравится",ленин 😡 уебок
"спасибо.надя, ты мне лучше найди,сколько клеток,где отступать по математике.ты как-то делилась,а я потеряла.картинка такая была.",специално для тупых !!! проебёте лукашенко ! проебёте свою республику !!!
"вам это аукнется, кто это сделал",💩 😒 вся надежда на армию против этих полицаев т.к. у армии есть оружие но если армия продастся то весь мир бордак все бабыбляд и солнце ебаный фонарь
а костюм водонепроницаемый?,"на долбоёба в зеркало посмотри. закончилась война и хорошо. эта война по отмыву денег. до тебя, долбоёба, так и не дошло. и насукраине тоже самое, долбоёб."
"почему непоказываете и не рассказываете всю правду за хабаровск, владивосток находку, новосибирск, только грязью обливаете, оскорбляете народ. когда вы уже будете работать для народа а не для предателей народа????","почему придурок, покоритель вершин. 💩"
"доброе утро, заедет сегодня муж, заберёт заказы мои и екимовой в.","привыкли людей за быдло держать,чтобы денег хватало только на еду коммуналку и проезд. у вас не кадровый голод в городе, вас жаба душит чтобы поднять людям зарплату. так вам сукам и надо надеюсь и последние кадры уедут в другие города, где нет такого ебанутого руководства."
есть несоответствие с наличием окон на фасаде и внутри помещения.,выпердыш что ты мелишь.донбасс тебя спросит?
"у каждого человека свой порог боли. есть женщины, которые рожают очень даже легко а другие - резко","ты что ли его брал? это во-первых. а во-вторых, никто этот аэропорт не брал. наше подразделение туда раньше вышло 🐓 и раньше пришло. без единого выстрела. а такие чмошники как ты изображают из себя рэмбов"
ефремов видать трус,лучше научили врачей быть настоящими врачами а не убийцами. сейчас нет настоящих.одно могу пожелать врачам. что бы вас так и ваших родных полечили как вы лечите людей.уроды
смышлённый 👍😭,нажраться суки не могут что ли 😠
вывод один! мы никто и звать нас никак😞,"дичь сука🤨😠😠😠,сначала в доверие 😠 входят ублюдки,а потом зубы показывают,революции захотелось по ходу...снова."
"так получается нету нормальных спецов в городе, но почему то каждый раз выигрывают. а сделали бы нормально каждый объект, глядишь сейчас город в плане дорог и тротуаров был гораздо лучше.",они же похуисты ссы в глаза божья роса...
с этим не согласен. да и не я один.,самый главный пиздабол и клоун
чек по операции сбербанк онлайн операция карты на карту перевод с дата опера ации мск б июл оо время операции мску з б б номер документа бчб операции статус успешно выполнен сумма опера ации ччо оо руб комиссия ооо руб отправитель иг зобз получатель карты ббзч код авторизации ббвч получатель платежа анастасия николлевна г платем опlипе,"дебилизм зашкаливает, не только у сабянина, но и тех кто до сих пор носит эти,маски управляемые стадо. 😡"
как все точно сказано.,"пеку и раздаю..... либо вы лицедей, либо негодяй. думаю...негодяй."
мой адрес.391054. рязанская область. пронский район. посёлок орловский улица центральная д1 кв1,"пидар, чмо вонючее"
это что то с чем то! браво!!!,🐷 это не мать. не плачь маленький тебя найдет. другая мама как не жалко такой. хорошенький тварь она скотина
вернут сейчас в половине сел фельдшеров даже нет,"хуйила, рекламени светофорда кил, проститут!"
девоньки ежемесячные были по 400 с чем то?,"ты еблан косоротый, буду в греции, увидимся и побазарим за россию."
"в яблоки можно добавить корицу, вместо ванилина.",охуенно жили! в принципе 💩 можно все вернуть с помощью ходорковских навальных гозманов и прочей хуеты 😤
я тоже одинок.люблю животных.инвалид2гр.пиши.отвечу.,"вот гад.а письмецо накрапал - сущий ангел. хорошо, что есть разъяснение, а то какая-нибудь молодая девушка клюнула бы на такое сокровище. 🐽"
"люблю всех цветов пионы , у каждого цвета свой запах",пидорам не место в россии ! это вы позор для нас !
"с.чистое,дом моды.","ну и рожа у опарыша была.вот его друзья два человека. возомнил из себя топчика, тебя все терпеть не могут, презирают за твой поганый язык, за твоё выпячивание, выскочка,жополиз. презираем тебя."
я посмотрел ролик гринвуд и гарнер. ужаснулся просто.,"человека почти десятилетие нет, все это время страну тупо грабили, а вы все на фейк гавкаете, их три, путиных, страну тупо грабят, на народ при этом забили давно и по полной, нагибают все ниже и сказки рассказывают, и до долбоебов это никак не дойдет. идиоты.россия управляется колониальной администрацией. собственно, как и америка."
я бы попил,"😡 таких песен больше никто не сможет написать!а от песен киркорова и бескова блевать охота.чем хвастается.только в клипе коз доют да молофью козью пьют.уроды.разлагают молодежь.у друг друга сами сосите.придурки.возмущению нет предела.накипело не могу.все делают деньги.а киркоров вообще судак,в журнале тайны звёзд рассказал всему миру как и где он трахал аллочку.позор!!!!!!как после этого его уважать и слушать.сам гомик!!!"
"у америкосов не гнёт, гнёт у японцев.",блядо-извращенцы! 😒
можно подумать что кислорода сейчас много и дома на месте а люди сыпятся!,да кто ты 🐷 такая сука!!! и так врачей не хватает тварь вонючая (((
кошечка поделилась финансами...,да ..!! лукашенка - прав.!! путин будет президентом только до 2035 года...! а там опять обнулится и опять станет президентом- до 2135 года .!! пусть пидарасы хохлы издохнут от горя...
нету предводителя.а так можно было бы оторваться,🐽 нажми себе на глаз.придурок лагерный 😑
"у меня сестра 7 июня подала,тоже через госы,сретенский район,так вообще дозвониться не может до них,или телефон выключен или что там у них,непонятно,но никаких ответов и результатов🤨",до 😑 чего же противная женщина.... вруша.... изворачивается как уж.... стыдно за нее
"здравствуй август величавый! здравствуй барин_господин! а в твоих волосьях- травах уже прибавилось седин. солнышко лицо ласкает, подрумянивая нос! пахне мёдом на лужайках, и грибами лес манит. глянь, стрижей весёлых стайка в небе звонко голосит! шум покосов затихает, дремлет над рекой туман. и украдкой примеряет лето пестрый сарафан. здравствуй август! добродушный, щедрый и весёлый друг! лето!... времени послушно,... плавно завершает круг!",ебаные пидарасы нам их детали в хуй не тарахтели
поздравляю пати)) это хопошее дело)) пусть в этой квартире все будет тепло уютно и хорошо)))👍 #u9b079b0736s# #u9b079b0736s# #u9b079b0736s#,свинота ебальник закрой а 🐓 то кишки простудишь 💩
а всё гениальное. просто,как бы вот этого еблана вычеслить с мордой волка которого козлы ебали
"красавчик, всегда его уважала, хороший он человек",ну и ебасосы отажрали себе. чушки. 😤
"просто не видит смысла в этих дебатах, слишком большая пропасть между ними. дискутировать - то. не с кем, она просто ноль во всех вопросах.",долбоебина учи географию!!! тогда поймёшь где украина а где калмыкия!!! вы тупорылые овцы всех кто критикует власть автоматически становится госдеповцами или хохлами??
а где охрана,по всему жопа еще и велис строй такая же жопа
"никто к вам не лез ни с каким миром - это для вас чуждо. вам ближе - сжечь заживо, убить, зигать и скакать - наслаждайтесь этим сами.","советский человек чёт тебя сегодня пронесло,давно тебя тут не было....опять хуйню свою выкладываешь"
киев с 1 августа отменяет 14-дневную самоизоляцию для прибывающих с подконтрольных лнр и днр территорий — госпогранслужба украины,охуеть тут дуры собрались.
"и главное, читая статьи вумных политологов, они оправдываются, так депутаты не говорят где и когда гражданство приняли, это нет в обязанностях))))))) бля, каждого спроси, введи законодательно или подзаконный нормативный акт и на карандаш. есть гражданство сша- выйти, нет- какова причина, есть гражданство другой страны- основания, почем , если депутатам запрещено по законодательству рф уже давнооооо по сути, друзья)))))",ебанутые в россии ......точнее
неожиданно красиво!,🐔 общество чмоошники!!!! путина в тюрьму!!!!
дай бог этому отважному мальчику здоровья и долгих лет жизни.,сторух саный неэроэзируй хуйня ты из пласстика
"максимум за 10,она новая стоит 24000",🤢 пидоры малолетние
да больше!,не верьте пиздоболы
"увы, его нет...уже давно....",бузотёры задолбали.... безмозглые 🐓
никуша и боссик поделились.,пидарасы ебаные сами ни че сзделать не умеете хоть спиздийде чужое:d :( :d
будет а кто пить воду я которую дам ему тот не будет жаждать вовек но вода я которую дам ему сделается в нем источником текущей воды в жизнь вечную от иоанна ч ч,"ты сама мразь и хуйло,тебе до путина - как до китая раком..."
с карты 6730 на есенина,пошёл на хуй пидор 😡
"здравствуйте,,,хочу в вашу бесплатную группу",🐓 👿 ты фашист что ли?про своих чё то пиздишь...
"все верно !мы их ни когда не забудем .они будут в нашем сердце ,пока мы живы .ведь это --мама ,которая дала нам жизнь !❤❤❤",жир трест.да разве могут они с такими харями 😡 работать????
"есть комплект под малый ход коленвала с размером поршня 52.4 я себе такой поставил купил в магазине мото-вело в городе три года назад до замены был 72 куб . могу сказать прирост мощности ощутимый,голову и карб не менял по сей день всё работает как часы.попробуй поищи в интернет магазинах типо мотаки и других.",😠 все они сволочи
"кремль ворует, и выводит за границу",слабоуная ебанько! припизнутая маразматичка!
"а зачем оборвали, покраснеет, время придет, в прошлом году 6 июля первый красный, в этом-только в августе и дружно так,время подошло, ждать",а спартаку выдвинуть требования ... отставка клоуна кашаи и этих двух уёбков лишить судейства пожизненно
божественная попа,обезьяна в очках сука кончившая российскую медецыну враг народа
вот пусть дождётся и доснимется в гвардии.сериал выделяется даже на фоне общего низкого уровня такой продукции.своей тупостью и не профессионализмом.мутная поделка.,"ты думаешь что они роботы без семьи и родни ? они есть чтобы защищать народ от преступников на гражданке, а не зажратых пидросов!"
добрый вечер. а посоветуйте где можно закупиться школьными принадлежностями (про оникс знаю)?,вот ебанько! вот откуда они берутся?
"нам ведра хватит за глаза, ещё и угостим сватов да подругу. сразу в охотку поедим, а потом никому не нужны","хороший вопрос, но ты вопрос не тем задаёшь! задай этот вопрос пидору путину!!!"
наверное мышей не ловит.,твари чтобы у вас не только руки а и остальное все поотсыхало дебилы уроды.
достаньте чувства сотрите из архива пыль сдуши и глаз и научитесь жить земля красиво ведь создана для bас хорошего о дня,"97 % выбравших пу,-старые озабоченные,климаксные ,деменционные,милые старушки,главные козыри,-при чем здесь путин,он не знал.он единственный кто их ,пусть через пенсии,пусть через жкх,пусть через налоги,но ебет.деды россии не можете сами ,нанимайте кого то,дарите своим мразям самотыки,или собак ебущих старух,что тор делайте,эти твари ,от некдоебита уже почти угандонили целую страну."
вторник пуамь и вой классно сложится и брои ся хо ее умножим,"😤 лёня гозман! сначала глаза в кучу собери! может и мозги подправятся(в этом большие сомнения). а то смотришь на жизнь, как рак отшельник, не замечая, что вокруг огромная, великая страна!!! дальше своей ракушки(черепной коробки) ни хрена не видишь. и об обычаях!!! раньше, идущих супротив государевой власти, на кол сажали!!! лёня! ты как? готов? очко тренируешь! амеровскими прибамбасами? удачки тебе! если мозги колом не подправят, то хоть зыркалки в кучу соберуться!!!"
"шрамы украшают мужчину! а этот пацан, настоящий мужик! родители воспитали хорошего парня! желаю тебе маленький друг ,здоровья и незаметных шрамов! 💗",😑 :-d долбоё опами становятся.ими.не рождаются. ими.делают. руководители партий.
9 туристов ферма мечты 5 человек,вы ебанутые родители !!!!!как вы можете ребёнка в 6 лет оставить???смерть дитя на вашей совести 😰а мы все должны плакать и волноваться????
депутаты работают!-громко сказано!👎 :-(,ты сука. наркотик алкоголь убил человека. и он святой. пиздец. 🤢 🤢
"а как же элла панфилова, не удели считать не умеет, кто её в верха не грамотную выдвинул?","а почему пездеш, пойдите в москве на тверскую там таких випускниц ....... от 1000рублевих,до елитних и многие випускници."
"привет, моя дорогая! вот такой настрой нашим сохранить бы на игру с наполи! не хватает куража и настроения! на команду давят, они сами понимают, что упустили лалигу! а в лч им нужно просто сыграть с настроением и всё!!! это же барса!!!❤",скинь адресок тупица разберемся поговорим 🐷
скажите а реквизиты можно электронно поменять? где именно? в связи поменяла на карту мир..,по ходу ты ебанутый 🤢
я тоже очень очень хочу в этот прекрасный город.,вы самые 😠 натуральные пидорасы просмотрел вашу ебаную рекламу 49 раз и вы решили отключится
в наше время довольно широко распространена неверная информация об исламе некоторые люди неверно полагают что ислам это новая и пророком самая молодая религия основанная мухьаммадом мир ему другие говорят что мусульмане не признают пророков иисуса моисея поклоняются черному камню и тд истинные знания религии ислам таковы же ислам означает поклонение единому богу признава его закон по арабски шари аллан ат это имя бога на арабском языке мусульманин это верующий истинность ислама ислам это религия которую соблюдали и к ислам которой призывали все пророки также религией ангелов является которую они исповедовали еще до создания людей в основе ислама лежит вера единого бога аллана его пророков ангелов в небесные книги судьбу в в судный день шаllан ены шиттоиl рlасs аллан существует без неста и без образа,"а кто говорит о майдане дура с дебилом ? а на счёт бед, да верно и все беды от таких как вы оба жопализы путинские... вы хуже тех палицаев, а ведь ходите среди людей, многих в палицию сдали сексоты чёртовы...."
коза альпиниста чтоли...,"гоните его на хуй из хабаровска, барина с барскими замашками,пусть фургала возвращают,или берите власть в свои руки,а этого хуитятину гоните поганой метлой!!! 🤡"
"за душу берущие пейзажи, напоминающие о родном..., - вернуться бы туда, вздохнув до боли, как заново родиться...❤️","😠 животные не бросают своих детёнышей, а человек, хотя как её можно назвать человеком... 🐽 эта тварь, а не женщина.."
плотно в середине сижу.... далеко к лидерам....но и задних не пасу)),"меня лично интиресует только один вопрос,какой долбаёб этим делится в этой группе,это явно к этой группе не относится.! 👿"
это что за ужас?!!!!!!,сколько бы не прятался гнида ты сидиш на штык сын шлюхи безродный юблюдок только не надейся что проспиш кары
да что за ужас происходит то???!,потому что те кто гоняет шайбу жополизы ебаные!!! и не умеют работать!
бог в помощь🙏,прости знаю что не читаешь но ты конченная блять хотя говорила и другое чтоьбез разницв атсамаьтрахаешься как только я лег под нож
бред какой-то,"🤡 эти пидарасы совсем уже охуели! вам тварям деньги несут в магазины, ублюдки вы! какие маски?! какие перчатки?! какой блять вирус?! ебанулись уже совсем! нахуй посылаю сразу за заставления одевать! нахуй себе гандоны оденьте, заодно и на голову. дебилы блять!"
в первую очередь--к врачу,какой ты хуй фаворит
рывок прорыв и россия заняла б место по уровню жизни граждан соседи рф руанда б место кения и место,китаец сука пиздец ты бесишь 🙄
батюшки что это?,😑 дурак тренер. мозги нужно качать. мозги!!!! 😉 🤮
убери оттуда музыку совсем.,его уже пора бы на место поставить чтоб х...ню всякую не городил он что слепой или просто ебанутый. 😤
"автора к ответу, пожалуйста!","жесть не в том , о чём ты тут нам всем пиздишь , а в том , что ты до сих пор ещё не здох , жаба дисидентская !"
"и все вкусно, вкусно. а запахи одни чего стоят, но бесплатно!","ну вот , эта двужопая проститутка и показало своё истинное лицо...."
у меня муж всегда так делает,всё ровно козёл!!!!!!!!!!!!!!
"конечно они не хотят пришлого - это ж придётся весь бизнес перестраивать, а они ж хозяева там,всё под себя подмяли, фургалу держать место надо, тут вдруг порядок начнуть наводить и ещё что то всплывёт!",подлейший 🐷 из поганцев нечеловек - чтоб ты сдох еще раз со всеми няинами своими
"точно , кто не любил, тото не поймет !",вопрос: зачем это матери кадырова??? есть еще умные на 🤬 этой земле? дебил!!!ы
казнокрадов особенно.,интересно если б джигурду посадили при фашистах он тоже миньет им делал бы? и погоняло имел бы только не сопля а вафля
а где был то? (,"разраб,ты пидорас 🤢"
и такое же окрашивание.только тон другой,"он всегда был лукавой крысой(dt)... и с россией юлил и перед западом поклоны гнул и лебезил... андон, одним словом 👎 🐓"
есть девушки в русских селениях..... 👍,"адвокаты берут ртом и жопой все дела, какие можно, чтобы больше урвать бабла. и бог с ними, если не успевают. а тот хрыщ ефремов - сука та ещё. задавил человека по-пьяне, а теперь вместе с адвокатом включают дурака о своей невиновности. на нары и только, и по максимуму!"
усолье. но ездим везде куда зовут😊😊,козлы так и 🤮 живут где только можно украсть у другого народа сволота пидрилы поганные
"одеть вряд ли, просто не представляю во что. а вот, надела бы с удовольствием!","автор,ты конченый долбаёб."
"у всех орви, вызванная короновирусом, осложненная пневмонией.",ты пидар глотку свою заткни. знает он про тот конфликт! уебок!
вова - дима когда же вы подавитесь деньгами??? люди хотят жить а не существовать!!!,"иди на йух,стратег грёбаный! 😒"
действительно очень вкусно!,"ещё одна залупа престарелая вылезла из под плинтуса 🤣ты, вонючее старое тело, иди правнукам блины пеки, сидишь тут, про политику. фууу, б... 🤮🤮🤮🤮🤮у вас, маразматики, вообще паспорта надо перед выборами отбирать либо официально запретить вам, с вашей деменцией голосовать! 🤣🤣🤣чтобы вот такая, б..., маразматичка, которую на кладбище давно с фонарями ищут, да сафонов тут ещё долбоеб престарелый, чтобы такая старая тупиздень как вы, не решали за молодых как нам дальше жить! вы уже все проебали! довыбирались, б...!!"
"я тоже сегодня заново подала, не пришёл ответ с ведомств (с 26 мая ждала)))","велик сука сварили:o . скважины людям пробурить, и дороги сделайте!"
